Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,fly ash,Water,superplastisizer,curing temp,DAYS,CS
514,1119,10,400,600,450,0,0,60,28,26
514,1119,10,400,600,450,0,0,60,28,25.5
514,1119,10,400,600,450,0,0,90,3,41
514,1119,10,400,600,450,0,0,90,3,36
514,1119,10,400,600,450,0,0,90,3,26
514,1119,10,400,600,450,0,0,90,7,44
514,1119,10,400,600,450,0,0,90,7,42
514,1119,10,400,600,450,0,0,90,7,29
514,1119,10,400,600,450,0,0,90,28,51
514,1119,10,400,600,450,0,0,90,28,49
514,1119,10,400,600,450,0,0,90,28,36
514,1119,10,400,600,450,0,0,120,3,28
514,1119,10,400,600,450,0,0,120,3,36
514,1119,10,400,600,450,0,0,120,3,42
514,1119,10,400,600,450,0,0,120,7,32
514,1119,10,400,600,450,0,0,120,7,38
514,1119,10,400,600,450,0,0,120,7,46
514,1119,10,400,600,450,0,0,120,28,37
514,1119,10,400,600,450,0,0,120,28,47
514,1119,10,400,600,450,0,0,120,28,53
672,1008,12,82,206,432,0,0,25,3,10
672,1008,12,82,206,432,0,0,25,7,20
672,1008,12,82,206,432,0,0,25,28,61
672,1008,12,82,206,410.4,0,0,25,3,20
672,1008,12,82,206,410.4,0,0,25,7,32
672,1008,12,82,206,410.4,0,0,25,28,40
672,1008,12,82,206,388.8,0,0,25,3,15
672,1008,12,82,206,388.8,0,0,25,7,28
672,1008,12,82,206,388.8,0,0,25,28,39
672,1008,12,82,206,367.2,0,0,25,3,10
672,1008,12,82,206,367.2,0,0,25,7,13
672,1008,12,82,206,367.2,0,0,25,28,34
716.1,1670,11.1,26.64,135.81,475.33,52.58,0,25,28,29.73
716.1,1670,8.325,19.98,178.25,475.33,39.44,0,25,28,25.48
716.1,1670,9.51,22.83,135.81,509.29,45.07,0,25,28,38.84
716.1,1670,10.32,24.64,158.05,491.72,38.58,0,25,28,44.52
716.1,1670,9.36,22.47,172.94,482.41,35.18,0,25,28,38.03
716.1,1670,12.44,29.86,135.81,509.29,38.04,0,25,28,50.74
600,1200,12,51.5,128.5,400,0,0,60,28,38.2
600,1200,12,51.5,128.5,400,0,0,60,56,43.8
600,1200,12,51.5,128.5,400,0,0,60,90,51
383,1385,10,163,82,350,0,0,22,7,38
383,1385,10,124,124,354,0,0,22,7,35
383,1385,10,100,150,357,0,0,22,7,33
354,1049,10,163,82,350,0,0,22,7,8
354,1049,10,124,124,354,0,0,22,7,16
354,1049,10,100,150,357,0,0,22,7,18
215,536,10,163,82,350,0,0,22,7,4
215,536,10,124,124,354,0,0,22,7,7
215,536,10,100,150,357,0,0,22,7,7
533,1243,8,56,138,430,0,0,60,3,22
533,1243,8,56,138,430,0,0,60,7,27
533,1243,8,56,138,430,0,0,60,28,32
547,1277,8,51,128,397,0,0,60,3,23
547,1277,8,51,128,397,0,0,60,7,29
547,1277,8,51,128,397,0,0,60,28,33
547,1277,8,51,128,397,0,0,70,3,24
547,1277,8,51,128,397,0,0,70,7,28
547,1277,8,51,128,397,0,0,70,28,32
547,1277,8,51,128,397,0,0,80,3,27
547,1277,8,51,128,397,0,0,80,7,34
547,1277,8,51,128,397,0,0,80,28,35
547,1277,8,51,128,397,0,0,90,3,26
547,1277,8,51,128,397,0,0,90,7,32
547,1277,8,51,128,397,0,0,90,28,36
547,1277,8,51,128,397,0,0,100,3,24
547,1277,8,51,128,397,0,0,100,7,31
547,1277,8,51,128,397,0,0,100,28,34
