Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,GGBS,fly ash,Water,superplastisizer,curing temp,DAYS,compressive strength
650,1200,8,19,111,0,400,55,12,75,14,53.92
650,1200,8,19,111,0,400,55,12,75,28,65.4
650,1200,8,19,111,0,400,55,12,75,60,65.27
650,1200,8,19,111,0,400,55,12,75,7,34.49
650,1200,8,19,111,0,400,55,12,75,14,46.21
650,1200,8,19,111,0,400,55,12,75,28,52.28
650,1200,8,19,111,0,400,55,12,75,60,52.35
650,1200,8,19,111,0,400,55,12,75,7,40.56
650,1200,8,19,111,0,400,55,12,75,14,52.12
650,1200,8,19,111,0,400,55,12,75,28,61.02
650,1200,8,19,111,0,400,55,12,75,60,61.75
650,1200,8,36,150,400,0,65,12,75,7,40
650,1200,8,36,150,400,0,65,12,75,14,484
650,1200,8,36,150,400,0,65,12,75,28,52.66
650,1200,8,36,150,400,0,65,12,75,60,51.96
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
630,1158,8,53,105,405,0,52,22,90,7,50
630,1158,8,53,105,405,0,52,22,90,28,55
630,1158,8,53,105,405,0,52,22,90,56,61
